cd_UGestora,dt_Ano,cd_UnidOrcamentaria,nu_Empenho,nu_Parcela,tp_Lancamento,vl_Pagamento,dt_Pagamento,cd_Conta,nu_ChequePag,nu_DebAut,cd_BancoRec,cd_AgenciaRec,nu_ContaRec,tp_FonteRecursos,dt_MesAno
201200,2015,20300,2003317,0000001,1,1500.0000,2015-10-07 00:00:00,000000096652,000000,,,,,0,102015
201200,2015,20300,2003828,0000001,1,1500.0000,2015-11-13 00:00:00,000000150215,000000,,,,,0,112015
201200,2015,20300,2004353,0000001,1,1500.0000,2015-12-09 00:00:00,000000154504,000000,,,,,0,122015
201200,2015,20600,2001067,0000001,1,34318.0200,2015-05-05 00:00:00,000000191582,000000,,,,,15,052015
201200,2015,20600,2001400,0000001,1,10193.4400,2015-05-20 00:00:00,00000020997X,000000,,,,,15,052015
201200,2015,20600,2001874,0000001,1,20301.7700,2015-07-13 00:00:00,000000191582,000000,,,,,15,072015
201200,2015,20600,2000103,0000001,1,39183.3700,2015-01-22 00:00:00,00000020997X,000000,,,,,15,012015
201200,2015,20600,2000420,0000001,1,25499.3600,2015-02-26 00:00:00,00000020997X,000000,,,,,15,022015
201200,2015,20600,2000749,0000001,1,27652.9400,2015-03-20 00:00:00,00000020997X,000000,,,,,15,032015
201200,2015,20800,2000366,0000001,1,7000.0000,2015-02-12 00:00:00,00000015878X,000000,,,,,0,022015
201200,2015,20800,2000366,0000002,1,7647.9800,2015-02-20 00:00:00,00000015878X,000000,,,,,0,022015
201200,2015,20800,2000647,0000001,1,36774.9100,2015-03-06 00:00:00,000006470302,000000,,,,,52,032015
201200,2015,20800,2001303,0000001,1,65736.1300,2015-05-12 00:00:00,000000000924,000000,,,,,52,052015
201200,2015,20800,2001447,0000001,1,39488.5100,2015-05-22 00:00:00,000006470302,000000,,,,,52,052015
201200,2015,20800,2001691,0000001,1,34000.0000,2015-06-05 00:00:00,000000000924,000000,,,,,52,062015
201200,2015,20800,2002316,0000001,1,32021.5100,2015-07-30 00:00:00,00000015878X,000000,,,,,0,072015
201200,2015,20800,2002650,0000001,1,56751.0700,2015-08-10 00:00:00,00000015878X,000000,,,,,0,082015
201200,2015,20800,2002790,0000001,1,22868.7500,2015-08-27 00:00:00,00000006808X,000000,,,,,0,082015
201192,2015,05000,0001919,0000001,1,36474.2000,2015-11-17 00:00:00,000000201189,,,,,,0,112015
201192,2015,05000,0002103,0000001,1,12888.3900,2015-12-28 00:00:00,000000201189,,,,,,0,122015
201192,2015,05000,0002103,0000002,1,196.2600,2015-12-28 00:00:00,000000201189,,,,,,0,122015
201192,2015,08000,0000472,0000001,1,28395.1400,2015-03-26 00:00:00,000000086673,,,,,,0,032015
201192,2015,08000,0000696,0000001,1,30764.4000,2015-05-11 00:00:00,000000051403,,,,,,0,052015
201192,2015,08000,0000863,0000001,1,2671.5600,2015-06-01 00:00:00,000000051403,,,,,,0,062015
201192,2015,08000,0000863,0000002,1,14100.0000,2015-06-01 00:00:00,000000086673,,,,,,0,062015
201192,2015,08000,0001045,0000001,1,13157.3500,2015-06-16 00:00:00,000000086673,,,,,,0,062015
201192,2015,05000,0001040,0000001,1,11480.8200,2015-06-12 00:00:00,000000136786,,,,,,0,062015
201192,2015,05000,0001212,0000001,1,17808.4900,2015-07-23 00:00:00,000000086673,,,,,,0,072015
201005,2013,00206,0002054,0000001,1,94906.3300,2013-07-31 00:00:00,000000124117,144128,,,000000,000000000000,0,072013
201005,2013,00206,0002341,0000001,1,63488.9500,2013-08-29 00:00:00,000000124117,120850,,,000000,000000000000,0,082013
201005,2013,00206,0002663,0000001,1,81677.0800,2013-09-20 00:00:00,000000124117,0,,,000000,000000000000,0,092013
201005,2013,00206,0002941,0000001,1,69688.3200,2013-10-18 00:00:00,000000124117,0,,,000000,000000000000,0,102013
201005,2013,00206,0003161,0000001,1,24734.3600,2013-11-11 00:00:00,000000124117,0,,,000000,000000000000,0,112013
201005,2013,00206,0003161,0000002,1,35194.3500,2013-11-19 00:00:00,000000124117,0,,,000000,000000000000,0,112013
201005,2013,00206,0003387,0000001,1,33645.4200,2013-11-29 00:00:00,000000024309,152354,,,000000,000000000000,0,112013
201005,2013,00206,0003676,0000001,1,16663.0800,2013-12-23 00:00:00,000000124117,0,,,000000,000000000000,0,122013
201005,2013,02031,0000461,0000001,1,60000.0000,2013-03-08 00:00:00,000000321869,121629,,,000000,000000000000,29,032013
201005,2014,00205,0003392,0000001,1,115385.6000,2014-10-17 00:00:00,000000361099,100656,00000000000,001,000000,000000000000,52,102014
201005,2014,00206,0001674,0000001,1,73323.3700,2014-07-21 00:00:00,000000317632,163832,00000000000,001,000000,000000000000,52,072014
201005,2014,00206,0002033,0000001,1,16726.0100,2014-07-08 00:00:00,000000124117,105644,00000000000,001,000000,000000000000,0,072014
201005,2015,00205,0000342,0000001,1,34113.8700,2015-01-30 00:00:00,000000361099,130414,00000000000,001,000000,000000000000,52,012015
201005,2015,00205,0000590,0000001,1,4250.0000,2015-02-13 00:00:00,000000361099,115401,00000000000,001,000000,000000000000,52,022015
201005,2015,00206,0001404,0000001,1,108794.8000,2015-04-24 00:00:00,000000317632,112812,00000000000,001,000000,000000000000,52,042015
201005,2015,00206,0002563,0000001,1,331104.2200,2015-08-14 00:00:00,000000317632,091221,00000000000,001,000000,000000000000,52,082015
201005,2015,00206,0003158,0000001,1,113593.6000,2015-09-17 00:00:00,000000317632,000000,00000000000,001,000000,000000000000,52,092015
201211,2012,02090,0003983,0000001,1,13345.2500,2012-08-01 00:00:00,000000043850,858768,,,,,0,082012
201211,2012,02090,0002468,0000001,1,3550.0000,2012-06-14 00:00:00,000000043850,858423,,,,,0,062012
201211,2012,02090,0002468,0000002,1,3550.0000,2012-06-14 00:00:00,000000043850,858424,,,,,0,062012
201211,2012,02090,0002468,0000003,1,3550.0000,2012-06-27 00:00:00,000000225762,858490,,,,,0,062012
201211,2012,02090,0002468,0000004,1,3550.0000,2012-08-01 00:00:00,000000043850,858814,,,,,0,082012
201211,2012,02090,0002468,0000005,1,3550.0000,2012-09-03 00:00:00,000000043850,859078,,,,,0,092012
201211,2012,02090,0002468,0000006,1,3550.0000,2012-10-02 00:00:00,000000043850,859298,,,,,0,102012
201211,2012,02090,0002468,0000007,1,3550.0000,2012-11-09 00:00:00,000000043850,859548,,,,,0,112012
201211,2012,02090,0002468,0000008,1,3550.0000,2012-12-05 00:00:00,000000043850,859707,,,,,0,122012
201211,2012,02090,0002468,0000009,1,3550.0000,2012-12-21 00:00:00,000000043850,859831,,,,,0,122012
201211,2013,22080,0002964,0000001,1,7510.0000,2013-07-16 00:00:00,000000345121,000000,,,,,29,072013
201211,2013,22080,0004139,0000001,1,27562.7700,2013-09-02 00:00:00,000000345156,000000,,,,,29,092013
201211,2013,22060,0005572,0000001,1,41681.1200,2013-11-04 00:00:00,000000351903,000000,,,,,1,112013
201211,2013,22090,0003853,0000001,1,70000.0000,2013-08-15 00:00:00,000000073970,000000,,,,,0,082013
201211,2013,22090,0003853,0000002,1,53387.8500,2013-08-15 00:00:00,000000113514,000000,,,,,0,082013
201211,2013,22080,0004824,0000001,1,25989.2900,2013-10-07 00:00:00,000000345156,000000,,,,,0,102013
201211,2012,02060,0003596,0000001,1,22796.4800,2012-07-06 00:00:00,000000351903,,,,,,22,072012
201004,2015,02040,0001182,0000001,1,47968.0000,2015-04-14 00:00:00,000000163783,000000,00000000TED,,,,15,042015
201211,2012,02060,0003603,0000001,1,52033.5600,2012-08-06 00:00:00,000000351903,,,,,,22,082012
201004,2015,02040,0001659,0000001,1,48746.8000,2015-05-14 00:00:00,000000163783,000000,00000000TED,,,,15,052015
201004,2015,02040,0002521,0000001,1,61270.0000,2015-07-14 00:00:00,000000163783,000000,00000000TED,,,,15,072015
201004,2015,02040,0002849,0000001,1,66729.9900,2015-08-10 00:00:00,000000163783,000000,00000000TED,,,,15,082015
201211,2012,02060,0004446,0000001,1,21338.7100,2012-09-06 00:00:00,000000351903,,,,,,22,092012
201211,2012,02060,0004532,0000001,1,21650.5500,2012-09-12 00:00:00,000000351903,,,,,,22,092012
201211,2012,02060,0005825,0000001,1,15764.1000,2012-11-20 00:00:00,000000351903,,,,,,22,112012
201030,2010,02030,0002587,0000001,1,29776.7200,2010-07-21 00:00:00,000000090034,850292,,,,,0,072010
201030,2010,02030,0002587,0000002,1,40194.6800,2010-08-26 00:00:00,000000090034,850295,,,,,0,082010
201030,2010,02030,0002587,0000003,1,16608.0700,2010-09-21 00:00:00,000000090034,850296,,,,,0,092010
201030,2010,02030,0002587,0000004,1,21563.7200,2010-10-29 00:00:00,000000090034,850298,,,,,1,102010
201030,2010,02030,0002587,0000005,1,5836.4700,2010-12-01 00:00:00,000000115266,242627,,,,,0,122010
201030,2015,02060,0004423,0000001,1,45136.8300,2015-11-06 00:00:00,000000090042,027323,,,,,0,112015
201030,2010,02060,0004705,0000001,1,23000.0000,2010-12-10 00:00:00,000000134651,850027,,,,,16,122010
201030,2010,02060,0004705,0000002,1,23311.1100,2010-12-10 00:00:00,000000090034,850299,,,,,0,122010
201030,2010,02060,0005025,0000001,1,3150.0000,2010-12-24 00:00:00,000000090042,018696,,,,,0,122010
201030,2010,02060,0005025,0000002,1,3750.0000,2010-12-30 00:00:00,000000115266,242761,,,,,0,122010
201030,2011,02060,0002182,0000001,1,36646.0800,2011-05-30 00:00:00,000000001867,,,,,,24,052011
201030,2011,02060,0002182,0000002,1,51878.1800,2011-12-16 00:00:00,000000001867,,,,,,24,122011
201030,2011,02060,0002742,0000001,1,60557.8000,2011-07-12 00:00:00,000000090042,019465,,,,,0,072011
201030,2011,02060,0002742,0000002,1,24442.2000,2011-07-25 00:00:00,000000090042,019503,,,,,0,072011
201030,2011,02060,0003201,0000001,1,17741.0000,2011-08-29 00:00:00,000000090034,000132,,,,,0,082011
201013,2015,02080,0000026,0000001,1,20745.0000,2015-01-09 00:00:00,000006470811,,,,,,52,012015
201013,2015,02080,0000416,0000001,1,26722.4800,2015-02-12 00:00:00,000006470668,,,,,,52,022015
201013,2015,02080,0001485,0000001,1,124771.2000,2015-05-19 00:00:00,000006471060,,,,,,52,052015
201013,2015,02080,0002560,0000001,1,85025.7700,2015-08-12 00:00:00,000006470811,,,,,,52,082015
201084,2013,20500,0002646,0000001,1,63703.9000,2013-12-24 00:00:00,000000170224,000000,,,,,2,122013
